author_id,author,work_count,award_count,awards
AUTR-000343,東野圭吾,6,6,"HKM,JRA,KIK,KMS,NAO,RAN"
AUTR-000323,宮部みゆき,6,6,"JRA,JSF,KIK,KMS,NAO,YAM"
AUTR-000382,米澤穂信,5,5,"HKM,JRA,KMS,NAO,YAM"
AUTR-000324,桐野夏生,4,5,"JRA,KIK,KMS,NAO,RAN"
AUTR-000355,道尾秀介,4,4,"HKM,JRA,NAO,YAM"
AUTR-000287,皆川博子,4,4,"HKM,JRA,KIK,NAO"
AUTR-000524,青崎有吾,1,4,"HKM,JRA,KMS,YAM"
AUTR-000370,恩田陸,4,4,"HON,JRA,NAO,YAM"
AUTR-000306,高橋克彦,4,4,"JRA,KIK,NAO,RAN"
AUTR-000327,船戸与一,3,4,"JRA,KMS,NAO,YAM"
AUTR-000352,佐々木譲,3,4,"JRA,KMS,NAO,YAM"
AUTR-000312,大沢在昌,3,4,"JRA,KIK,KMS,NAO"
AUTR-000337,京極夏彦,4,4,"JRA,KIK,NAO,YAM"
AUTR-000447,真保裕一,3,4,"JRA,KMS,RAN,YAM"
AUTR-000350,天童荒太,3,4,"JRA,KMS,NAO,YAM"
AUTR-000384,小川哲,3,4,"JRA,JSF,NAO,YAM"
AUTR-000500,山田正紀,2,3,"HKM,JRA,JSF"
AUTR-000504,歌野晶午,2,3,"HKM,JRA,KMS"
AUTR-000521,櫻田智也,2,3,"HKM,JRA,KMS"
AUTR-000398,伊坂幸太郎,1,3,"HON,KMS,YAM"
AUTR-000301,泡坂妻夫,3,3,"JRA,KMS,NAO"
AUTR-000289,逢坂剛,2,3,"JRA,KIK,NAO"
AUTR-000310,高村薫,3,3,"JRA,KMS,NAO"
AUTR-000331,藤田宜永,3,3,"JRA,KIK,NAO"
AUTR-000377,馳星周,3,3,"JRA,KMS,NAO"
AUTR-000386,垣根涼介,3,3,"JRA,NAO,YAM"
AUTR-000505,貴志祐介,3,3,"JRA,JSF,KMS"
AUTR-000455,高野和明,2,3,"JRA,KMS,RAN"
AUTR-000473,呉勝浩,3,3,"JRA,KMS,RAN"
AUTR-000257,井上ひさし,3,3,"JSF,KIK,NAO"
AUTR-000250,陳舜臣,3,3,"KIK,NAO,RAN"
AUTR-000321,篠田節子,3,3,"KIK,NAO,YAM"
AUTR-000330,重松清,3,3,"KIK,NAO,YAM"
AUTR-000379,佐藤究,2,3,"NAO,RAN,YAM"
AUTR-000029,松本清張,2,2,"AKU,KIK"
AUTR-000048,田辺聖子,2,2,"AKU,KIK"
AUTR-000081,宮本輝,2,2,"AKU,KIK"
AUTR-000104,小川洋子,2,2,"AKU,HON"
AUTR-000131,吉田修一,2,2,"AKU,YAM"
AUTR-000151,円城塔,2,2,"AKU,JSF"
AUTR-000530,法月綸太郎,2,2,"HKM,KMS"
AUTR-000503,有栖川有栖,2,2,"HKM,JRA"
AUTR-000511,麻耶雄嵩,2,2,"HKM,JRA"
AUTR-000537,竹本健治,1,2,"HKM,KMS"
AUTR-000538,今村昌弘,1,2,"HKM,KMS"
AUTR-000540,相沢沙呼,1,2,"HKM,KMS"
AUTR-000522,芦辺拓,1,2,"HKM,JRA"
AUTR-000397,佐藤多佳子,2,2,"HON,YAM"
AUTR-000399,湊かなえ,2,2,"HON,YAM"
AUTR-000400,冲方丁,2,2,"HON,JSF"
AUTR-000345,三浦しをん,2,2,"HON,NAO"
AUTR-000359,辻村深月,2,2,"HON,NAO"
AUTR-000361,朝井リョウ,2,2,"HON,NAO"
AUTR-000420,西村京太郎,2,2,"JRA,RAN"
AUTR-000488,辻真先,2,2,"JRA,KMS"
AUTR-000279,胡桃沢耕史,2,2,"JRA,NAO"
AUTR-000490,北方謙三,2,2,"JRA,KIK"
AUTR-000436,岡嶋二人,2,2,"JRA,RAN"
AUTR-000491,志水辰夫,2,2,"JRA,KMS"
AUTR-000425,和久峻三,2,2,"JRA,RAN"
AUTR-000452,福井晴敏,2,2,"JRA,RAN"
AUTR-000499,菅浩江,2,2,"JRA,JSF"
AUTR-000501,古川日出男,1,2,"JRA,JSF"
AUTR-000347,桜庭一樹,2,2,"JRA,NAO"
AUTR-000507,今野敏,1,2,"JRA,YAM"
AUTR-000510,貫井徳郎,2,2,"JRA,YAM"
AUTR-000514,月村了衛,2,2,"JRA,JSF"
AUTR-000515,早見和真,2,2,"JRA,YAM"
AUTR-000477,伏尾美紀,2,2,"JRA,RAN"
AUTR-000262,半村良,2,2,"JSF,NAO"
AUTR-000565,夢枕獏,2,2,"JSF,KIK"
AUTR-000552,森見登美彦,2,2,"JSF,YAM"
AUTR-000300,原尞,2,2,"KMS,NAO"
AUTR-000187,川口松太郎,2,2,"KIK,NAO"
AUTR-000206,源氏鶏太,2,2,"KIK,NAO"
AUTR-000208,柴田錬三郎,2,2,"KIK,NAO"
AUTR-000214,新田次郎,2,2,"KIK,NAO"
AUTR-000216,南條範夫,2,2,"KIK,NAO"
AUTR-000223,多岐川恭,2,2,"NAO,RAN"
AUTR-000224,城山三郎,2,2,"KIK,NAO"
AUTR-000226,平岩弓枝,2,2,"KIK,NAO"
AUTR-000228,司馬遼太郎,2,2,"KIK,NAO"
AUTR-000229,池波正太郎,2,2,"KIK,NAO"
AUTR-000231,黒岩重吾,2,2,"KIK,NAO"
AUTR-000232,水上勉,2,2,"KIK,NAO"
AUTR-000233,伊藤桂一,2,2,"KIK,NAO"
AUTR-000235,杉本苑子,2,2,"KIK,NAO"
AUTR-000240,永井路子,2,2,"KIK,NAO"
AUTR-000246,五木寛之,2,2,"KIK,NAO"
AUTR-000248,野坂昭如,2,2,"KIK,NAO"
AUTR-000251,早乙女貢,2,2,"KIK,NAO"
AUTR-000253,結城昌治,2,2,"KIK,NAO"
AUTR-000254,渡辺淳一,2,2,"KIK,NAO"
AUTR-000258,藤沢周平,2,2,"KIK,NAO"
AUTR-000265,津本陽,2,2,"KIK,NAO"
AUTR-000267,宮尾登美子,2,2,"KIK,NAO"
AUTR-000270,阿刀田高,2,2,"KIK,NAO"
AUTR-000281,高橋治,2,2,"KIK,NAO"
AUTR-000286,林真理子,2,2,"KIK,NAO"
AUTR-000290,白石一郎,2,2,"KIK,NAO"
AUTR-000303,宮城谷昌光,2,2,"KIK,NAO"
AUTR-000307,伊集院静,2,2,"KIK,NAO"
AUTR-000309,北原亞以子,2,2,"KIK,NAO"
AUTR-000316,藤原伊織,1,2,"NAO,RAN"
AUTR-000317,小池真理子,2,2,"KIK,NAO"
AUTR-000320,浅田次郎,2,2,"KIK,NAO"
AUTR-000334,乙川優三郎,2,2,"NAO,YAM"
AUTR-000335,村山由佳,2,2,"KIK,NAO"
AUTR-000338,江國香織,2,2,"NAO,YAM"
AUTR-000339,熊谷達也,1,2,"NAO,YAM"
AUTR-000340,奥田英朗,2,2,"KIK,NAO"
AUTR-000341,角田光代,2,2,"KIK,NAO"
AUTR-000353,白石一文,2,2,"NAO,YAM"
AUTR-000354,中島京子,2,2,"KIK,NAO"
AUTR-000357,池井戸潤,2,2,"NAO,RAN"
AUTR-000364,朝井まかて,2,2,"KIK,NAO"
AUTR-000365,黒川博行,2,2,"KIK,NAO"
AUTR-000369,荻原浩,2,2,"NAO,YAM"
AUTR-000383,窪美澄,2,2,"NAO,YAM"
AUTR-000387,永井紗耶子,1,2,"NAO,YAM"
AUTR-000423,森村誠一,2,2,"KIK,RAN"
AUTR-000547,帚木蓬生,2,2,"KIK,YAM"
AUTR-000001,石川達三,1,1,AKU
AUTR-000002,鶴田知也,1,1,AKU
AUTR-000003,小田嶽夫,1,1,AKU
AUTR-000004,冨澤有爲男,1,1,AKU
AUTR-000005,石川淳,1,1,AKU
AUTR-000006,尾崎一雄,1,1,AKU
AUTR-000007,火野葦平,1,1,AKU
AUTR-000008,中山義秀,1,1,AKU
AUTR-000009,中里恒子,1,1,AKU
AUTR-000010,長谷健,1,1,AKU
AUTR-000011,半田義之,1,1,AKU
AUTR-000012,寒川光太郎,1,1,AKU
AUTR-000013,櫻田常久,1,1,AKU
AUTR-000014,多田裕計,1,1,AKU
AUTR-000015,芝木好子,1,1,AKU
AUTR-000016,倉光俊夫,1,1,AKU
AUTR-000017,石塚喜久三,1,1,AKU
AUTR-000018,東野邊薫,1,1,AKU
AUTR-000019,小尾十三登,1,1,AKU
AUTR-000020,八木義徳,1,1,AKU
AUTR-000021,清水基吉,1,1,AKU
AUTR-000022,由起しげ子,1,1,AKU
AUTR-000023,小谷剛,1,1,AKU
AUTR-000024,井上靖,1,1,AKU
AUTR-000025,辻亮一,1,1,AKU
AUTR-000026,石川利光,1,1,AKU
AUTR-000027,安部公房,1,1,AKU
AUTR-000028,堀田善衛,1,1,AKU
AUTR-000030,五味康祐,1,1,AKU
AUTR-000031,安岡章太郎,1,1,AKU
AUTR-000032,吉行淳之介,1,1,AKU
AUTR-000033,庄野潤三,1,1,AKU
AUTR-000034,小島信夫,1,1,AKU
AUTR-000035,遠藤周作,1,1,AKU
AUTR-000036,石原慎太郎,1,1,AKU
AUTR-000037,近藤啓太郎,1,1,AKU
AUTR-000038,菊村到,1,1,AKU
AUTR-000039,開高健,1,1,AKU
AUTR-000040,大江健三郎,1,1,AKU
AUTR-000041,斯波四郎,1,1,AKU
AUTR-000042,北杜夫,1,1,AKU
AUTR-000043,三浦哲郎,1,1,AKU
AUTR-000044,宇能鴻一郎,1,1,AKU
AUTR-000045,川村晃,1,1,AKU
AUTR-000046,河野多惠子,1,1,AKU
AUTR-000047,後藤紀一,1,1,AKU
AUTR-000049,柴田翔,1,1,AKU
AUTR-000050,津村節子,1,1,AKU
AUTR-000051,高井有一,1,1,AKU
AUTR-000052,丸山健二,1,1,AKU
AUTR-000053,大城立裕,1,1,AKU
AUTR-000054,柏原兵三,1,1,AKU
AUTR-000055,大庭みな子,1,1,AKU
AUTR-000056,丸谷才一,1,1,AKU
AUTR-000057,田久保英夫,1,1,AKU
AUTR-000058,庄司薫,1,1,AKU
AUTR-000059,清岡卓行,1,1,AKU
AUTR-000060,古山高麗雄,1,1,AKU
AUTR-000061,吉田知子,1,1,AKU
AUTR-000062,古井由吉,1,1,AKU
AUTR-000063,東峰夫,1,1,AKU
AUTR-000064,李恢成,1,1,AKU
AUTR-000065,宮原昭夫,1,1,AKU
AUTR-000066,畑山博,1,1,AKU
AUTR-000067,郷静子,1,1,AKU
AUTR-000068,山本道子,1,1,AKU
AUTR-000069,三木卓,1,1,AKU
AUTR-000070,森敦,1,1,AKU
AUTR-000071,野呂邦暢,1,1,AKU
AUTR-000072,阪田寛夫,1,1,AKU
AUTR-000073,日野啓三,1,1,AKU
AUTR-000074,林京子,1,1,AKU
AUTR-000075,岡松和夫,1,1,AKU
AUTR-000076,中上健次,1,1,AKU
AUTR-000077,村上龍,1,1,AKU
AUTR-000078,池田満寿夫,1,1,AKU
AUTR-000079,三田誠広,1,1,AKU
AUTR-000080,高城修三,1,1,AKU
AUTR-000082,高橋三千綱,1,1,AKU
AUTR-000083,高橋揆一郎,1,1,AKU
AUTR-000084,青野聰,1,1,AKU
AUTR-000085,重兼芳子,1,1,AKU
AUTR-000086,森禮子,1,1,AKU
AUTR-000087,尾辻克彦,1,1,AKU
AUTR-000088,吉行理恵,1,1,AKU
AUTR-000089,唐十郎,1,1,AKU
AUTR-000090,加藤幸子,1,1,AKU
AUTR-000091,高樹のぶ子,1,1,AKU
AUTR-000092,笠原淳,1,1,AKU
AUTR-000093,木崎さと子,1,1,AKU
AUTR-000094,米谷ふみ子,1,1,AKU
AUTR-000095,村田喜代子,1,1,AKU
AUTR-000096,三浦清宏,1,1,AKU
AUTR-000097,池澤夏樹,1,1,AKU
AUTR-000098,新井満,1,1,AKU
AUTR-000099,李良枝,1,1,AKU
AUTR-000100,南木佳士,1,1,AKU
AUTR-000101,瀧澤美恵子,1,1,AKU
AUTR-000102,大岡玲,1,1,AKU
AUTR-000103,辻原登,1,1,AKU
AUTR-000105,荻野アンナ,1,1,AKU
AUTR-000106,辺見庸,1,1,AKU
AUTR-000107,松村栄子,1,1,AKU
AUTR-000108,藤原智美,1,1,AKU
AUTR-000109,多和田葉子,1,1,AKU
AUTR-000110,吉目木晴彦,1,1,AKU
AUTR-000111,奥泉光,1,1,AKU
AUTR-000112,笙野頼子,1,1,AKU
AUTR-000113,室井光広,1,1,AKU
AUTR-000114,保坂和志,1,1,AKU
AUTR-000115,又吉栄喜,1,1,AKU
AUTR-000116,川上弘美,1,1,AKU
AUTR-000117,辻仁成,1,1,AKU
AUTR-000118,柳美里,1,1,AKU
AUTR-000119,目取真俊,1,1,AKU
AUTR-000120,藤沢周,1,1,AKU
AUTR-000121,花村萬月,1,1,AKU
AUTR-000122,平野啓一郎,1,1,AKU
AUTR-000123,玄月,1,1,AKU
AUTR-000124,藤野千夜,1,1,AKU
AUTR-000125,松浦寿輝,1,1,AKU
AUTR-000126,町田康,1,1,AKU
AUTR-000127,堀江敏幸,1,1,AKU
AUTR-000128,青来有一,1,1,AKU
AUTR-000129,玄侑宗久,1,1,AKU
AUTR-000130,長嶋有,1,1,AKU
AUTR-000132,大道珠貴,1,1,AKU
AUTR-000133,吉村萬壱,1,1,AKU
AUTR-000134,綿矢りさ,1,1,AKU
AUTR-000135,金原ひとみ,1,1,AKU
AUTR-000136,モブ・ノリオ,1,1,AKU
AUTR-000137,阿部和重,1,1,AKU
AUTR-000138,中村文則,1,1,AKU
AUTR-000139,絲山秋子,1,1,AKU
AUTR-000140,伊藤たかみ,1,1,AKU
AUTR-000141,青山七恵,1,1,AKU
AUTR-000142,諏訪哲史,1,1,AKU
AUTR-000143,川上未映子,1,1,AKU
AUTR-000144,楊逸,1,1,AKU
AUTR-000145,津村記久子,1,1,AKU
AUTR-000146,磯崎憲一郎,1,1,AKU
AUTR-000147,赤染晶子,1,1,AKU
AUTR-000148,西村賢太,1,1,AKU
AUTR-000149,朝吹真理子,1,1,AKU
AUTR-000150,田中慎弥,1,1,AKU
AUTR-000152,鹿島田真希,1,1,AKU
AUTR-000153,黒田夏子,1,1,AKU
AUTR-000154,藤野可織,1,1,AKU
AUTR-000155,小山田浩子,1,1,AKU
AUTR-000156,柴崎友香,1,1,AKU
AUTR-000157,小野正嗣,1,1,AKU
AUTR-000158,又吉直樹,1,1,AKU
AUTR-000159,羽田圭介,1,1,AKU
AUTR-000160,本谷有希子,1,1,AKU
AUTR-000161,滝口悠生,1,1,AKU
AUTR-000162,村田沙耶香,1,1,AKU
AUTR-000163,山下澄人,1,1,AKU
AUTR-000164,沼田真佑,1,1,AKU
AUTR-000165,石井遊佳,1,1,AKU
AUTR-000166,若竹千佐子,1,1,AKU
AUTR-000167,高橋弘希,1,1,AKU
AUTR-000168,上田岳弘,1,1,AKU
AUTR-000169,町屋良平,1,1,AKU
AUTR-000170,今村夏子,1,1,AKU
